texto_pedido,contem_dados_pessoais
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2020.,False
Solicito o valor do repasse federal recebido para merenda escolar este mês.,False
"Quero denunciar o servidor Vicente Vargas, que bate o ponto e vai embora.",True
"Eu, Davi Miguel Lima, RG 018253672, venho requerer minha ficha financeira de 2023.",True
Requeiro a lista de cargos em comissão ativos na Secretaria de Saúde em dezembro/2019.,False
Solicito o inteiro teor do parecer jurídico sobre a inexigibilidade de licitação 9777.,False
Cópia do edital de chamamento público nº 5627 para credenciamento de clínicas.,False
"Estou enviando meu RG 340527687 e comprovante de residência na Morro Luiz Miguel da Cruz, 759 para atualização cadastral.",True
Gostaria do organograma atualizado da Secretaria de Obras.,False
Solicito cópia integral do contrato nº 4710/2025 referente à licitação de limpeza urbana.,False
"Minha mãe, Guilherme da Rocha, está aguardando cirurgia. O CPF dela é 497.602.381-87. Qual a posição na fila?",True
Gostaria de acessar as atas das reuniões do conselho de saúde realizadas em 2025.,False
Gostaria de acessar as atas das reuniões do conselho de saúde realizadas em 2025.,False
Requeiro a lista de cargos em comissão ativos na Secretaria de Saúde em junho/2025.,False
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2021.,False
Segue em anexo meus documentos (CPF 628.903.517-77) para provar que sou eu pedindo sobre a licitação 87790.,True
"Quero denunciar o servidor Dr. Fernando Fonseca, que bate o ponto e vai embora.",True
Gostaria de acessar as atas das reuniões do conselho de saúde realizadas em 2019.,False
"Eu, Caio Oliveira, RG 260471586, venho requerer minha ficha financeira de 2023.",True
Cópia do edital de chamamento público nº 2714 para credenciamento de clínicas.,False
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2024.,False
"Qualquer dúvida, liguem para o meu celular pessoal: +55 (13) 9 1351 8302 ou fixo 11 8534 6581.",True
Segue em anexo meus documentos (CPF 279.534.816-00) para provar que sou eu pedindo sobre a licitação 41781.,True
"Eu, Hellena Rios, RG 085642319, venho requerer minha ficha financeira de 2023.",True
Quantos leitos de UTI estão disponíveis atualmente no Hospital de Base?,False
Gostaria do organograma atualizado da Secretaria de Obras.,False
"Olá, meu nome é Bento Lopes, portador do CPF 369.842.501-70, gostaria de saber o andamento do meu processo.",True
Gostaria do organograma atualizado da Secretaria de Obras.,False
"Eu, Isabela Santos, RG 703651821, venho requerer minha ficha financeira de 2023.",True
Peço planilha com a execução orçamentária do projeto Brasília Iluminada.,False
"Solicito meu histórico funcional. Segue meus dados: Sra. Letícia Rocha, matrícula 54444, tel +55 (51) 95764-6705.",True
"Eu, Giovanna Caldeira, RG 238017540, venho requerer minha ficha financeira de 2023.",True
Peço planilha com a execução orçamentária do projeto Brasília Iluminada.,False
"Solicito meu histórico funcional. Segue meus dados: Bianca Carvalho, matrícula 97645, tel +55 (026) 98080-8157.",True
Peço planilha com a execução orçamentária do projeto Brasília Iluminada.,False
"Olá, meu nome é Pietra Fernandes, portador do CPF 026.175.489-02, gostaria de saber o andamento do meu processo.",True
Segue em anexo meus documentos (CPF 924.158.706-76) para provar que sou eu pedindo sobre a licitação 28191.,True
Quantos leitos de UTI estão disponíveis atualmente no Hospital de Base?,False
Segue em anexo meus documentos (CPF 021.349.867-78) para provar que sou eu pedindo sobre a licitação 99502.,True
Solicito dados estatísticos sobre acidentes de trânsito na EPTG no último semestre.,False
Solicito o valor do repasse federal recebido para merenda escolar este mês.,False
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
"Minha mãe, Oliver Gonçalves, está aguardando cirurgia. O CPF dela é 270.135.869-86. Qual a posição na fila?",True
Qual a quantidade de médicos pediatras efetivos na rede pública?,False
Solicito cópia integral do contrato nº 5324/2018 referente à licitação de limpeza urbana.,False
"Solicito meu histórico funcional. Segue meus dados: Ana Laura Cunha, matrícula 84282, tel +55 (091) 91110-8518.",True
Solicito dados estatísticos sobre acidentes de trânsito na EPTG no último semestre.,False
Gostaria do organograma atualizado da Secretaria de Obras.,False
"Estou enviando meu RG 273145605 e comprovante de residência na Lagoa Vasconcelos, 81 para atualização cadastral.",True
"Moro na Campo de Cavalcanti, 6 e quero denunciar um buraco na porta da minha casa.",True
"Quero denunciar o servidor Mariane Fernandes, que bate o ponto e vai embora.",True
"Estou enviando meu RG 64351708X e comprovante de residência na Aeroporto Maria Júlia Viana, 819 para atualização cadastral.",True
"Estou enviando meu RG 20568371X e comprovante de residência na Quadra Vieira, 639 para atualização cadastral.",True
Solicito cópia integral do contrato nº 2982/2020 referente à licitação de limpeza urbana.,False
Gostaria do organograma atualizado da Secretaria de Obras.,False
"Olá, meu nome é Gael Henrique Fogaça, portador do CPF 158.062.947-49, gostaria de saber o andamento do meu processo.",True
Segue em anexo meus documentos (CPF 418.952.673-82) para provar que sou eu pedindo sobre a licitação 40223.,True
"Moro na Vale Oliveira, 51 e quero denunciar um buraco na porta da minha casa.",True
Quantos leitos de UTI estão disponíveis atualmente no Hospital de Base?,False
Solicito o inteiro teor do parecer jurídico sobre a inexigibilidade de licitação 4642.,False
Por favor enviar a resposta exclusivamente para o email pessoal: gleao@gmail.com.,True
"Eu, Lorenzo Gonçalves, RG 702583467, venho requerer minha ficha financeira de 2023.",True
Requeiro a lista de cargos em comissão ativos na Secretaria de Saúde em abril/2019.,False
"Qualquer dúvida, liguem para o meu celular pessoal: +55 (41) 9 9693 1572 ou fixo (084) 9194-0961.",True
"Qualquer dúvida, liguem para o meu celular pessoal: +55 (42) 9 8249-1165 ou fixo +55 (041) 2000 2453.",True
Segue em anexo meus documentos (CPF 470.283.196-87) para provar que sou eu pedindo sobre a licitação 53201.,True
Solicito o inteiro teor do parecer jurídico sobre a inexigibilidade de licitação 772.,False
Solicito o inteiro teor do parecer jurídico sobre a inexigibilidade de licitação 5630.,False
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2018.,False
"Olá, meu nome é João Lucas Pastor, portador do CPF 641.028.379-22, gostaria de saber o andamento do meu processo.",True
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
Solicito o valor do repasse federal recebido para merenda escolar este mês.,False
Solicito o valor do repasse federal recebido para merenda escolar este mês.,False
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2024.,False
Solicito o inteiro teor do parecer jurídico sobre a inexigibilidade de licitação 3312.,False
Gostaria de acessar as atas das reuniões do conselho de saúde realizadas em 2024.,False
Gostaria de acessar as atas das reuniões do conselho de saúde realizadas em 2018.,False
"Quero denunciar o servidor Dra. Maria Luiza da Luz, que bate o ponto e vai embora.",True
Qual a quantidade de médicos pediatras efetivos na rede pública?,False
"Moro na Quadra Silveira, 40 e quero denunciar um buraco na porta da minha casa.",True
Cópia do edital de chamamento público nº 7859 para credenciamento de clínicas.,False
Gostaria do organograma atualizado da Secretaria de Obras.,False
Solicito o inteiro teor do parecer jurídico sobre a inexigibilidade de licitação 1390.,False
Peço planilha com a execução orçamentária do projeto Brasília Iluminada.,False
Gostaria de acessar as atas das reuniões do conselho de saúde realizadas em 2024.,False
"Solicito meu histórico funcional. Segue meus dados: Alícia Guerra, matrícula 458, tel +55 04 9 9860-3721.",True
"Gostaria de saber o salário exato do meu vizinho Maya da Rocha, que trabalha aí.",True
Qual a quantidade de médicos pediatras efetivos na rede pública?,False
Cópia do edital de chamamento público nº 6428 para credenciamento de clínicas.,False
Qual o cronograma previsto para a reforma da escola classe 6485 da Ceilândia?,False
Solicito o valor do repasse federal recebido para merenda escolar este mês.,False
"Gostaria de saber o salário exato do meu vizinho Alícia Rezende, que trabalha aí.",True
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
Qual a quantidade de médicos pediatras efetivos na rede pública?,False
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2019.,False
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2025.,False
"Gostaria de saber o salário exato do meu vizinho Bryan Sampaio, que trabalha aí.",True
"Minha mãe, Sabrina Ribeiro, está aguardando cirurgia. O CPF dela é 659.728.341-46. Qual a posição na fila?",True
Qual a quantidade de médicos pediatras efetivos na rede pública?,False
Peço planilha com a execução orçamentária do projeto Brasília Iluminada.,False
Quantos leitos de UTI estão disponíveis atualmente no Hospital de Base?,False
"Gostaria de saber o salário exato do meu vizinho Luara Sales, que trabalha aí.",True
"Gostaria de saber o salário exato do meu vizinho Maria Cecília Cunha, que trabalha aí.",True
"Solicito meu histórico funcional. Segue meus dados: Sophie Aparecida, matrícula 41752, tel +55 56 9 5817 9157.",True
Por favor enviar a resposta exclusivamente para o email pessoal: evelyncorreia@yahoo.com.br.,True
"Quero denunciar o servidor Sr. Rhavi Nascimento, que bate o ponto e vai embora.",True
"Eu, Luiza Rios, RG 801745639, venho requerer minha ficha financeira de 2023.",True
Cópia do edital de chamamento público nº 4992 para credenciamento de clínicas.,False
"Eu, Lucca Albuquerque, RG 417253606, venho requerer minha ficha financeira de 2023.",True
Solicito o valor do repasse federal recebido para merenda escolar este mês.,False
Moro na Campo de Marques e quero denunciar um buraco na porta da minha casa.,True
Solicito cópia integral do contrato nº 6051/2022 referente à licitação de limpeza urbana.,False
Solicito o valor do repasse federal recebido para merenda escolar este mês.,False
"Minha mãe, Pedro Miguel Pastor, está aguardando cirurgia. O CPF dela é 956.182.703-40. Qual a posição na fila?",True
Solicito o valor do repasse federal recebido para merenda escolar este mês.,False
Solicito o valor do repasse federal recebido para merenda escolar este mês.,False
"Estou enviando meu RG 132054784 e comprovante de residência na Loteamento de Barbosa, 45 para atualização cadastral.",True
Solicito dados estatísticos sobre acidentes de trânsito na EPTG no último semestre.,False
Gostaria do organograma atualizado da Secretaria de Obras.,False
Qual o cronograma previsto para a reforma da escola classe 1233 da Ceilândia?,False
Solicito o inteiro teor do parecer jurídico sobre a inexigibilidade de licitação 8209.,False
Solicito o inteiro teor do parecer jurídico sobre a inexigibilidade de licitação 5984.,False
Requeiro a lista de cargos em comissão ativos na Secretaria de Saúde em maio/2023.,False
"Solicito meu histórico funcional. Segue meus dados: Henrique da Rosa, matrícula 10432, tel +55 36 97734-9852.",True
Solicito o valor do repasse federal recebido para merenda escolar este mês.,False
"Quero denunciar o servidor Luna Barbosa, que bate o ponto e vai embora.",True
Qual a quantidade de médicos pediatras efetivos na rede pública?,False
Requeiro a lista de cargos em comissão ativos na Secretaria de Saúde em abril/2021.,False
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
Por favor enviar a resposta exclusivamente para o email pessoal: isaac43@yahoo.com.br.,True
Segue em anexo meus documentos (CPF 120.739.654-07) para provar que sou eu pedindo sobre a licitação 40137.,True
Por favor enviar a resposta exclusivamente para o email pessoal: omendes@hotmail.com.,True
Por favor enviar a resposta exclusivamente para o email pessoal: teixeiraleticia@bol.com.br.,True
Quantos leitos de UTI estão disponíveis atualmente no Hospital de Base?,False
"Gostaria de saber o salário exato do meu vizinho Apollo Teixeira, que trabalha aí.",True
Quantos leitos de UTI estão disponíveis atualmente no Hospital de Base?,False
Gostaria do organograma atualizado da Secretaria de Obras.,False
Segue em anexo meus documentos (CPF 231.768.590-40) para provar que sou eu pedindo sobre a licitação 86530.,True
"Estou enviando meu RG 378025612 e comprovante de residência na Conjunto de Sales, 8 para atualização cadastral.",True
Solicito cópia integral do contrato nº 9208/2023 referente à licitação de limpeza urbana.,False
"Eu, Vitor Gabriel Cirino, RG 317460250, venho requerer minha ficha financeira de 2023.",True
Gostaria de acessar as atas das reuniões do conselho de saúde realizadas em 2025.,False
"Moro na Aeroporto de Machado, 27 e quero denunciar um buraco na porta da minha casa.",True
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
Segue em anexo meus documentos (CPF 856.723.019-59) para provar que sou eu pedindo sobre a licitação 29458.,True
"Moro na Conjunto de Abreu, 53 e quero denunciar um buraco na porta da minha casa.",True
Solicito dados estatísticos sobre acidentes de trânsito na EPTG no último semestre.,False
Por favor enviar a resposta exclusivamente para o email pessoal: ksousa@ig.com.br.,True
Solicito o valor do repasse federal recebido para merenda escolar este mês.,False
Solicito cópia integral do contrato nº 8982/2021 referente à licitação de limpeza urbana.,False
Solicito cópia integral do contrato nº 6573/2018 referente à licitação de limpeza urbana.,False
"Estou enviando meu RG 08123675X e comprovante de residência na Núcleo Araújo, 962 para atualização cadastral.",True
"Estou enviando meu RG 178503642 e comprovante de residência na Conjunto Marques, 83 para atualização cadastral.",True
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
Por favor enviar a resposta exclusivamente para o email pessoal: augustocardoso@ig.com.br.,True
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
Solicito o inteiro teor do parecer jurídico sobre a inexigibilidade de licitação 9669.,False
"Eu, Sra. Alexia Dias, RG 314820577, venho requerer minha ficha financeira de 2023.",True
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
Peço planilha com a execução orçamentária do projeto Brasília Iluminada.,False
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2019.,False
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
Requeiro a lista de cargos em comissão ativos na Secretaria de Saúde em janeiro/2025.,False
Gostaria de acessar as atas das reuniões do conselho de saúde realizadas em 2025.,False
"Olá, meu nome é Sofia Marques, portador do CPF 497.063.125-52, gostaria de saber o andamento do meu processo.",True
"Qualquer dúvida, liguem para o meu celular pessoal: +55 (86) 91085-9735 ou fixo 21 6794-3364.",True
Peço planilha com a execução orçamentária do projeto Brasília Iluminada.,False
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
Segue em anexo meus documentos (CPF 841.302.657-17) para provar que sou eu pedindo sobre a licitação 13510.,True
Por favor enviar a resposta exclusivamente para o email pessoal: luiz-gustavocorreia@bol.com.br.,True
Cópia do edital de chamamento público nº 6056 para credenciamento de clínicas.,False
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
"Estou enviando meu RG 423067813 e comprovante de residência na Travessa de Costela, 68 para atualização cadastral.",True
Cópia do edital de chamamento público nº 5117 para credenciamento de clínicas.,False
Solicito o inteiro teor do parecer jurídico sobre a inexigibilidade de licitação 9326.,False
Requeiro a lista de cargos em comissão ativos na Secretaria de Saúde em março/2023.,False
Qual a quantidade de médicos pediatras efetivos na rede pública?,False
Segue em anexo meus documentos (CPF 724.681.590-20) para provar que sou eu pedindo sobre a licitação 69633.,True
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
Solicito cópia integral do contrato nº 2078/2023 referente à licitação de limpeza urbana.,False
Solicito o inteiro teor do parecer jurídico sobre a inexigibilidade de licitação 8081.,False
Por favor enviar a resposta exclusivamente para o email pessoal: brayanmarques@uol.com.br.,True
Peço planilha com a execução orçamentária do projeto Brasília Iluminada.,False
Qual o cronograma previsto para a reforma da escola classe 4461 da Ceilândia?,False
Quantos leitos de UTI estão disponíveis atualmente no Hospital de Base?,False
Requeiro a lista de cargos em comissão ativos na Secretaria de Saúde em maio/2020.,False
"Qualquer dúvida, liguem para o meu celular pessoal: +55 (01) 92698-0446 ou fixo 84 5895 2476.",True
"Qualquer dúvida, liguem para o meu celular pessoal: +55 32 9 0448 4567 ou fixo (081) 1541-7660.",True
Solicito dados estatísticos sobre acidentes de trânsito na EPTG no último semestre.,False
Gostaria do organograma atualizado da Secretaria de Obras.,False
"Gostaria de saber o salário exato do meu vizinho Ísis da Rocha, que trabalha aí.",True
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
"Solicito meu histórico funcional. Segue meus dados: Isis Azevedo, matrícula 77380, tel +55 (68) 94268 5179.",True
Solicito o inteiro teor do parecer jurídico sobre a inexigibilidade de licitação 6916.,False
Segue em anexo meus documentos (CPF 638.291.547-55) para provar que sou eu pedindo sobre a licitação 58833.,True
Por favor enviar a resposta exclusivamente para o email pessoal: natalia42@yahoo.com.br.,True
"Quero denunciar o servidor Arthur Gabriel Carvalho, que bate o ponto e vai embora.",True
Gostaria do organograma atualizado da Secretaria de Obras.,False
Gostaria de acessar as atas das reuniões do conselho de saúde realizadas em 2018.,False
Peço planilha com a execução orçamentária do projeto Brasília Iluminada.,False
Por favor enviar a resposta exclusivamente para o email pessoal: emanuellacamargo@hotmail.com.,True
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
Cópia do edital de chamamento público nº 2272 para credenciamento de clínicas.,False
Segue em anexo meus documentos (CPF 503.192.876-02) para provar que sou eu pedindo sobre a licitação 56947.,True
Solicito cópia integral do contrato nº 4069/2025 referente à licitação de limpeza urbana.,False
Gostaria de acessar as atas das reuniões do conselho de saúde realizadas em 2025.,False
Segue em anexo meus documentos (CPF 178.204.693-31) para provar que sou eu pedindo sobre a licitação 77161.,True
Solicito o valor do repasse federal recebido para merenda escolar este mês.,False
Qual a quantidade de médicos pediatras efetivos na rede pública?,False
Por favor enviar a resposta exclusivamente para o email pessoal: matheus69@uol.com.br.,True
Solicito dados estatísticos sobre acidentes de trânsito na EPTG no último semestre.,False
"Eu, Ana Lívia Sampaio, RG 853612079, venho requerer minha ficha financeira de 2023.",True
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
Peço planilha com a execução orçamentária do projeto Brasília Iluminada.,False
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
Solicito dados estatísticos sobre acidentes de trânsito na EPTG no último semestre.,False
"Solicito meu histórico funcional. Segue meus dados: Emanuelly Montenegro, matrícula 57996, tel +55 (086) 97181-5352.",True
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2025.,False
Requeiro a lista de cargos em comissão ativos na Secretaria de Saúde em outubro/2020.,False
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2024.,False
"Qualquer dúvida, liguem para o meu celular pessoal: +55 28 9 0587-7770 ou fixo +55 21 4972 6821.",True
"Eu, Melina Fernandes, RG 637205480, venho requerer minha ficha financeira de 2023.",True
Quantos leitos de UTI estão disponíveis atualmente no Hospital de Base?,False
Por favor enviar a resposta exclusivamente para o email pessoal: zda-conceicao@yahoo.com.br.,True
Qual o cronograma previsto para a reforma da escola classe 9302 da Ceilândia?,False
"Solicito meu histórico funcional. Segue meus dados: Evelyn Novaes, matrícula 99871, tel +55 (55) 9 1562-3920.",True
Requeiro a lista de cargos em comissão ativos na Secretaria de Saúde em fevereiro/2018.,False
"Moro na Quadra Ana Cirino, 46 e quero denunciar um buraco na porta da minha casa.",True
Qual o cronograma previsto para a reforma da escola classe 6740 da Ceilândia?,False
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
Gostaria do organograma atualizado da Secretaria de Obras.,False
Gostaria de acessar as atas das reuniões do conselho de saúde realizadas em 2022.,False
"Moro na Morro de Pacheco, 161 e quero denunciar um buraco na porta da minha casa.",True
"Qualquer dúvida, liguem para o meu celular pessoal: +55 (67) 9 4999-0203 ou fixo 41 5407-0084.",True
Solicito cópia integral do contrato nº 3359/2022 referente à licitação de limpeza urbana.,False
"Estou enviando meu RG 623715089 e comprovante de residência na Colônia de Gomes, 54 para atualização cadastral.",True
"Qualquer dúvida, liguem para o meu celular pessoal: +55 (52) 94377 9507 ou fixo 84 5573 7485.",True
"Estou enviando meu RG 501867430 e comprovante de residência na Quadra Pinto, 86 para atualização cadastral.",True
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2018.,False
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2021.,False
"Olá, meu nome é Allana da Paz, portador do CPF 056.891.347-75, gostaria de saber o andamento do meu processo.",True
Gostaria de acessar as atas das reuniões do conselho de saúde realizadas em 2025.,False
"Olá, meu nome é Sra. Melissa da Cunha, portador do CPF 076.482.513-53, gostaria de saber o andamento do meu processo.",True
"Estou enviando meu RG 638251072 e comprovante de residência na Favela de Melo, 6 para atualização cadastral.",True
Peço planilha com a execução orçamentária do projeto Brasília Iluminada.,False
"Estou enviando meu RG 56480213X e comprovante de residência na Colônia de Machado, 19 para atualização cadastral.",True
"Moro na Avenida Cardoso, 79 e quero denunciar um buraco na porta da minha casa.",True
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2022.,False
"Solicito meu histórico funcional. Segue meus dados: Ian Correia, matrícula 94050, tel +55 (049) 97537 4057.",True
Solicito o inteiro teor do parecer jurídico sobre a inexigibilidade de licitação 7963.,False
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
"Gostaria de saber o salário exato do meu vizinho Lucca Cavalcante, que trabalha aí.",True
Segue em anexo meus documentos (CPF 672.019.485-20) para provar que sou eu pedindo sobre a licitação 15531.,True
"Minha mãe, Sra. Lívia Fonseca, está aguardando cirurgia. O CPF dela é 869.521.734-55. Qual a posição na fila?",True
"Eu, Clara Machado, RG 07531468X, venho requerer minha ficha financeira de 2023.",True
Solicito o inteiro teor do parecer jurídico sobre a inexigibilidade de licitação 2006.,False
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
Qual a quantidade de médicos pediatras efetivos na rede pública?,False
"Gostaria de saber o salário exato do meu vizinho Ana Julia da Mata, que trabalha aí.",True
"Estou enviando meu RG 574260833 e comprovante de residência na Trevo Vargas, 862 para atualização cadastral.",True
Solicito cópia integral do contrato nº 6533/2022 referente à licitação de limpeza urbana.,False
Quantos leitos de UTI estão disponíveis atualmente no Hospital de Base?,False
Qual o cronograma previsto para a reforma da escola classe 1555 da Ceilândia?,False
"Qualquer dúvida, liguem para o meu celular pessoal: +55 (002) 90715-3784 ou fixo +55 (061) 0555-5354.",True
"Qualquer dúvida, liguem para o meu celular pessoal: +55 21 92932-8963 ou fixo +55 84 0646-8677.",True
Solicito o valor do repasse federal recebido para merenda escolar este mês.,False
"Quero denunciar o servidor Ravi Lucca Almeida, que bate o ponto e vai embora.",True
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2018.,False
"Quero denunciar o servidor Lara Sampaio, que bate o ponto e vai embora.",True
Gostaria de acessar as atas das reuniões do conselho de saúde realizadas em 2019.,False
Qual o cronograma previsto para a reforma da escola classe 535 da Ceilândia?,False
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2023.,False
"Qualquer dúvida, liguem para o meu celular pessoal: +55 (32) 96724 4693 ou fixo +55 61 7294 7638.",True
"Moro na Fazenda Anna Liz Novais, 47 e quero denunciar um buraco na porta da minha casa.",True
Gostaria do organograma atualizado da Secretaria de Obras.,False
Solicito cópia integral do contrato nº 3506/2025 referente à licitação de limpeza urbana.,False
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2019.,False
"Olá, meu nome é Davi Luiz da Costa, portador do CPF 514.830.276-35, gostaria de saber o andamento do meu processo.",True
"Solicito meu histórico funcional. Segue meus dados: Ryan da Rocha, matrícula 29502, tel +55 (33) 9 8722 0542.",True
"Solicito meu histórico funcional. Segue meus dados: Luana da Luz, matrícula 28064, tel +55 (022) 98305 6446.",True
"Moro na Rodovia de Siqueira, 35 e quero denunciar um buraco na porta da minha casa.",True
Quantos leitos de UTI estão disponíveis atualmente no Hospital de Base?,False
"Gostaria de saber o salário exato do meu vizinho Sra. Maria Alice Cassiano, que trabalha aí.",True
Solicito dados estatísticos sobre acidentes de trânsito na EPTG no último semestre.,False
Solicito cópia integral do contrato nº 2728/2022 referente à licitação de limpeza urbana.,False
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2024.,False
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
"Eu, Raul Novais, RG 642875315, venho requerer minha ficha financeira de 2023.",True
Qual a quantidade de médicos pediatras efetivos na rede pública?,False
"Qualquer dúvida, liguem para o meu celular pessoal: +55 59 98312 4412 ou fixo 0800 075 9659.",True
Solicito cópia integral do contrato nº 4722/2019 referente à licitação de limpeza urbana.,False
Solicito cópia integral do contrato nº 5879/2021 referente à licitação de limpeza urbana.,False
Qual o cronograma previsto para a reforma da escola classe 471 da Ceilândia?,False
"Olá, meu nome é Luiz Gustavo da Conceição, portador do CPF 149.683.072-50, gostaria de saber o andamento do meu processo.",True
Solicito dados estatísticos sobre acidentes de trânsito na EPTG no último semestre.,False
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
"Gostaria de saber o salário exato do meu vizinho Dr. Renan Aragão, que trabalha aí.",True
Requeiro a lista de cargos em comissão ativos na Secretaria de Saúde em setembro/2018.,False
Requeiro a lista de cargos em comissão ativos na Secretaria de Saúde em março/2025.,False
Solicito cópia integral do contrato nº 9633/2019 referente à licitação de limpeza urbana.,False
"Gostaria de saber o salário exato do meu vizinho João Rezende, que trabalha aí.",True
"Quero denunciar o servidor Esther Fogaça, que bate o ponto e vai embora.",True
Quantos leitos de UTI estão disponíveis atualmente no Hospital de Base?,False
"Eu, Maria Vitória Pimenta, RG 534260780, venho requerer minha ficha financeira de 2023.",True
Qual a quantidade de médicos pediatras efetivos na rede pública?,False
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
Moro na Chácara Liam Pinto e quero denunciar um buraco na porta da minha casa.,True
Cópia do edital de chamamento público nº 3922 para credenciamento de clínicas.,False
